constructorResultsId,raceId,constructorId,points,status
16635,1093,210,2.0,\N
16636,1093,213,1.0,\N
16637,1093,214,6.0,\N
16638,1093,51,0.0,\N
16639,1093,3,0.0,\N
16640,1094,9,40.0,\N
16641,1094,131,31.0,\N
16642,1094,6,18.0,\N
16643,1094,1,8.0,\N
16644,1094,214,4.0,\N
16645,1094,51,1.0,\N
16646,1094,213,0.0,\N
16647,1094,3,0.0,\N
16648,1094,117,0.0,\N
16649,1094,210,0.0,\N
16650,1095,131,58.0,\N
16651,1095,6,37.0,\N
16652,1095,214,14.0,\N
16653,1095,9,23.0,\N
16654,1095,51,2.0,\N
16655,1095,117,1.0,\N
16656,1095,210,1.0,\N
16657,1095,213,0.0,\N
16658,1095,3,0.0,\N
16659,1095,1,2.0,\N
16660,1096,9,40.0,\N
16661,1096,6,30.0,\N
16662,1096,131,10.0,\N
16663,1096,1,11.0,\N
16664,1096,214,6.0,\N
16665,1096,117,5.0,\N
16666,1096,213,0.0,\N
16667,1096,51,0.0,\N
16668,1096,3,0.0,\N
16669,1096,210,0.0,\N
16670,1098,9,43.0,\N
16671,1098,117,23.0,\N
16672,1098,6,12.0,\N
16673,1098,131,16.0,\N
16674,1098,51,4.0,\N
16675,1098,214,2.0,\N
16676,1098,3,1.0,\N
16677,1098,213,0.0,\N
16678,1098,210,0.0,\N
16679,1098,1,0.0,\N
16680,1099,9,44.0,\N
16681,1099,131,22.0,\N
16682,1099,117,15.0,\N
16683,1099,6,14.0,\N
16684,1099,214,6.0,\N
16685,1099,210,1.0,\N
16686,1099,213,0.0,\N
16687,1099,51,0.0,\N
16688,1099,1,0.0,\N
16689,1099,3,0.0,\N
16690,1100,9,36.0,\N
16691,1100,131,18.0,\N
16692,1100,117,27.0,\N
16693,1100,1,12.0,\N
16694,1100,210,6.0,\N
16695,1100,51,2.0,\N
16696,1100,213,1.0,\N
16697,1100,6,0.0,\N
16698,1100,214,0.0,\N
16699,1100,3,0.0,\N
16700,1101,9,57.0,\N
16701,1101,6,36.0,\N
16702,1101,117,22.0,\N
16703,1101,131,20.0,\N
16704,1101,1,2.0,\N
16705,1101,213,1.0,\N
16706,1101,3,0.0,\N
16707,1101,210,0.0,\N
16708,1101,214,0.0,\N
16709,1101,51,0.0,\N
16710,1102,9,44.0,\N
16711,1102,117,15.0,\N
16712,1102,131,20.0,\N
16713,1102,6,16.0,\N
16714,1102,214,6.0,\N
16715,1102,210,1.0,\N
16716,1102,213,0.0,\N
16717,1102,51,0.0,\N
16718,1102,3,0.0,\N
16719,1102,1,0.0,\N
16720,1104,9,25.0,\N
16721,1104,117,18.0,\N
16722,1104,214,21.0,\N
16723,1104,131,23.0,\N
16724,1104,6,12.0,\N
16725,1104,1,3.0,\N
16726,1104,51,0.0,\N
16727,1104,213,0.0,\N
16728,1104,3,0.0,\N
16729,1104,210,0.0,\N
16730,1105,9,38.0,\N
16731,1105,131,33.0,\N
16732,1105,6,10.0,\N
16733,1105,117,14.0,\N
16734,1105,214,5.0,\N
16735,1105,51,2.0,\N
16736,1105,213,0.0,\N
16737,1105,1,0.0,\N
16738,1105,210,0.0,\N
16739,1105,3,0.0,\N
16740,1106,9,34.0,\N
16741,1106,117,20.0,\N
16742,1106,131,15.0,\N
16743,1106,6,22.0,\N
16744,1106,3,6.0,\N
16745,1106,214,4.0,\N
16746,1106,51,1.0,\N
16747,1106,1,0.0,\N
16748,1106,213,0.0,\N
16749,1106,210,0.0,\N
16750,1107,9,56.0,\N
16751,1107,6,32.0,\N
16752,1107,1,12.0,\N
16753,1107,117,21.0,\N
16754,1107,131,11.0,\N
16755,1107,214,3.0,\N
16756,1107,3,0.0,\N
16757,1107,51,0.0,\N
16758,1107,213,0.0,\N
16759,1107,210,3.0,\N
16760,1108,9,34.0,\N
16761,1108,1,30.0,\N
16762,1108,131,25.0,\N
16763,1108,117,6.0,\N
16764,1108,3,4.0,\N
16765,1108,6,3.0,\N
16766,1108,51,0.0,\N
16767,1108,210,0.0,\N
16768,1108,213,0.0,\N
16769,1108,214,0.0,\N
16770,1109,9,41.0,\N
16771,1109,1,28.0,\N
16772,1109,131,20.0,\N
16773,1109,6,10.0,\N
16774,1109,117,3.0,\N
16775,1109,3,0.0,\N
16776,1109,51,0.0,\N
16777,1109,213,0.0,\N
16778,1109,210,0.0,\N
16779,1109,214,0.0,\N
16780,1110,9,51.0,\N
16781,1110,6,24.0,\N
16782,1110,131,24.0,\N
16783,1110,117,12.0,\N
16784,1110,1,16.0,\N
16785,1110,214,10.0,\N
16786,1110,213,1.0,\N
16787,1110,51,0.0,\N
16788,1110,3,0.0,\N
16789,1110,210,0.0,\N
