constructorStandingsId,raceId,constructorId,points,position,positionText,wins
28188,1079,213,17.0,7,7,0
28189,1079,117,6.0,9,9,0
28190,1079,3,3.0,10,10,0
28191,1079,1,50.0,4,4,0
28192,1079,9,195.0,1,1,4
28193,1080,6,199.0,2,2,2
28194,1080,131,134.0,3,3,0
28195,1080,210,15.0,8,8,0
28196,1080,51,41.0,5,5,0
28197,1080,214,40.0,6,6,0
28198,1080,213,17.0,7,7,0
28199,1080,117,7.0,9,9,0
28200,1080,3,3.0,10,10,0
28201,1080,1,59.0,4,4,0
28202,1080,9,235.0,1,1,5
28203,1081,6,199.0,2,2,2
28204,1081,131,161.0,3,3,0
28205,1081,210,15.0,8,8,0
28206,1081,51,41.0,6,6,0
28207,1081,214,47.0,5,5,0
28208,1081,213,27.0,7,7,0
28209,1081,117,15.0,9,9,0
28210,1081,3,3.0,10,10,0
28211,1081,1,65.0,4,4,0
28212,1081,9,279.0,1,1,6
28232,1082,9,304.0,1,1,7
28231,1082,1,65.0,4,4,0
28230,1082,3,3.0,10,10,0
28228,1082,213,27.0,7,7,0
28225,1082,210,15.0,9,9,0
28223,1082,6,228.0,2,2,2
28224,1082,131,188.0,3,3,0
28229,1082,117,16.0,8,8,0
28227,1082,214,57.0,5,5,0
28226,1082,51,51.0,6,6,0
28233,1083,6,265.0,2,2,3
28234,1083,131,204.0,3,3,0
28235,1083,210,20.0,8,8,0
28236,1083,51,51.0,6,6,0
28237,1083,214,67.0,5,5,0
28238,1083,213,27.0,7,7,0
28239,1083,117,18.0,9,9,0
28240,1083,3,3.0,10,10,0
28241,1083,1,73.0,4,4,0
28242,1083,9,328.0,1,1,7
28243,1084,6,303.0,2,2,4
28244,1084,131,237.0,3,3,0
28245,1084,210,34.0,7,7,0
28246,1084,51,51.0,6,6,0
28247,1084,214,81.0,5,5,0
28248,1084,213,27.0,8,8,0
28249,1084,117,18.0,9,9,0
28250,1084,3,3.0,10,10,0
28251,1084,1,81.0,4,4,0
28252,1084,9,359.0,1,1,7
28253,1085,6,314.0,2,2,4
28254,1085,131,270.0,3,3,0
28255,1085,210,34.0,7,7,0
28256,1085,51,51.0,6,6,0
28257,1085,214,93.0,4,4,0
28258,1085,213,27.0,8,8,0
28259,1085,117,19.0,9,9,0
28260,1085,3,3.0,10,10,0
28261,1085,1,89.0,5,5,0
28262,1085,9,396.0,1,1,8
28263,1086,6,334.0,2,2,4
28264,1086,131,304.0,3,3,0
28265,1086,210,34.0,7,7,0
28266,1086,51,51.0,6,6,0
28267,1086,214,99.0,4,4,0
28268,1086,213,27.0,8,8,0
28269,1086,117,20.0,9,9,0
28270,1086,3,3.0,10,10,0
28271,1086,1,95.0,5,5,0
28272,1086,9,431.0,1,1,9
28273,1087,6,357.0,2,2,4
28274,1087,131,316.0,3,3,0
28275,1087,210,34.0,7,7,0
28276,1087,51,51.0,6,6,0
28277,1087,214,115.0,4,4,0
28278,1087,213,29.0,8,8,0
28279,1087,117,24.0,9,9,0
28280,1087,3,4.0,10,10,0
28281,1087,1,95.0,5,5,0
28282,1087,9,475.0,1,1,10
28283,1088,6,376.0,2,2,4
28284,1088,131,346.0,3,3,0
28285,1088,210,34.0,7,7,0
28286,1088,51,51.0,6,6,0
28287,1088,214,125.0,4,4,0
28288,1088,213,29.0,8,8,0
28289,1088,117,25.0,9,9,0
28290,1088,3,4.0,10,10,0
28291,1088,1,101.0,5,5,0
28292,1088,9,511.0,1,1,11
28293,1089,6,406.0,2,2,4
28294,1089,131,371.0,3,3,0
28295,1089,210,34.0,7,7,0
28296,1089,51,52.0,6,6,0
28297,1089,214,125.0,4,4,0
28298,1089,213,33.0,8,8,0
28299,1089,117,25.0,9,9,0
28300,1089,3,6.0,10,10,0
28301,1089,1,107.0,5,5,0
28302,1089,9,545.0,1,1,12
28303,1091,6,439.0,2,2,4
28304,1091,131,373.0,3,3,0
28305,1091,210,34.0,8,8,0
28306,1091,51,52.0,6,6,0
28307,1091,214,125.0,5,5,0
28308,1091,213,34.0,9,9,0
28309,1091,117,37.0,7,7,0
28310,1091,3,6.0,10,10,0
28311,1091,1,129.0,4,4,0
28312,1091,9,576.0,1,1,13
28332,1092,9,619.0,1,1,14
28331,1092,1,130.0,5,5,0
28328,1092,213,34.0,9,9,0
28325,1092,210,34.0,8,8,0
28323,1092,6,454.0,2,2,4
28330,1092,3,8.0,10,10,0
28324,1092,131,387.0,3,3,0
28327,1092,214,143.0,4,4,0
28329,1092,117,45.0,7,7,0
28326,1092,51,52.0,6,6,0
28370,1093,3,8.0,10,10,0
28371,1093,1,138.0,5,5,0
28367,1093,214,149.0,4,4,0
28363,1093,6,469.0,2,2,4
28369,1093,117,49.0,7,7,0
28368,1093,213,35.0,9,9,0
28366,1093,51,52.0,6,6,0
28365,1093,210,36.0,8,8,0
28364,1093,131,416.0,3,3,0
28382,1094,9,696.0,1,1,16
28381,1094,1,146.0,5,5,0
28378,1094,213,35.0,9,9,0
28375,1094,210,36.0,8,8,0
28373,1094,6,487.0,2,2,4
28380,1094,3,8.0,10,10,0
28374,1094,131,447.0,3,3,0
28377,1094,214,153.0,4,4,0
28379,1094,117,49.0,7,7,0
28376,1094,51,53.0,6,6,0
28372,1093,9,656.0,1,1,15
28383,1095,6,524.0,2,2,4
28384,1095,131,505.0,3,3,1
28385,1095,210,37.0,8,8,0
28386,1095,51,55.0,6,6,0
28387,1095,214,167.0,4,4,0
28388,1095,213,35.0,9,9,0
28389,1095,117,50.0,7,7,0
28390,1095,3,8.0,10,10,0
28391,1095,1,148.0,5,5,0
28392,1095,9,719.0,1,1,16
28393,1096,6,554.0,2,2,4
28394,1096,131,515.0,3,3,1
28395,1096,210,37.0,8,8,0
28396,1096,51,55.0,6,6,0
28397,1096,214,173.0,4,4,0
28398,1096,213,35.0,9,9,0
28399,1096,117,55.0,7,7,0
28400,1096,3,8.0,10,10,0
28401,1096,1,159.0,5,5,0
28402,1096,9,759.0,1,1,17
28492,1098,1,0.0,10,10,0
28491,1098,210,0.0,9,9,0
28490,1098,213,0.0,8,8,0
28489,1098,3,1.0,7,7,0
28488,1098,214,2.0,6,6,0
28487,1098,51,4.0,5,5,0
28486,1098,131,16.0,3,3,0
28485,1098,6,12.0,4,4,0
28484,1098,117,23.0,2,2,0
28483,1098,9,43.0,1,1,1
28444,1100,117,65.0,2,2,0
28443,1100,9,123.0,1,1,3
28442,1099,1,0.0,10,10,0
28440,1099,213,0.0,9,9,0
28439,1099,3,1.0,8,8,0
28437,1099,51,4.0,6,6,0
28435,1099,6,26.0,4,4,0
28441,1099,210,1.0,7,7,0
28438,1099,214,8.0,5,5,0
28434,1099,117,38.0,2,2,0
28436,1099,131,38.0,3,3,0
28433,1099,9,87.0,1,1,2
28445,1100,6,26.0,4,4,0
28446,1100,131,56.0,3,3,0
28447,1100,51,6.0,8,8,0
28448,1100,214,8.0,6,6,0
28449,1100,3,1.0,10,10,0
28450,1100,213,1.0,9,9,0
28451,1100,210,7.0,7,7,0
28452,1100,1,12.0,5,5,0
28453,1101,9,180.0,1,1,4
28454,1101,117,87.0,2,2,0
28455,1101,6,62.0,4,4,0
28456,1101,131,76.0,3,3,0
28457,1101,51,6.0,8,8,0
28458,1101,214,8.0,6,6,0
28459,1101,3,1.0,10,10,0
28460,1101,213,2.0,9,9,0
28461,1101,210,7.0,7,7,0
28462,1101,1,14.0,5,5,0
28463,1102,9,224.0,1,1,5
28464,1102,117,102.0,2,2,0
28465,1102,6,78.0,4,4,0
28466,1102,131,96.0,3,3,0
28467,1102,51,6.0,8,8,0
28468,1102,214,14.0,6,6,0
28469,1102,3,1.0,10,10,0
28470,1102,213,2.0,9,9,0
28471,1102,210,8.0,7,7,0
28472,1102,1,14.0,5,5,0
28473,1104,9,249.0,1,1,6
28474,1104,117,120.0,2,2,0
28475,1104,6,90.0,4,4,0
28476,1104,131,119.0,3,3,0
28477,1104,51,6.0,8,8,0
28478,1104,214,35.0,5,5,0
28479,1104,3,1.0,10,10,0
28480,1104,213,2.0,9,9,0
28481,1104,210,8.0,7,7,0
28482,1104,1,17.0,6,6,0
28493,1105,9,287.0,1,1,7
28494,1105,117,134.0,3,3,0
28495,1105,6,100.0,4,4,0
28496,1105,131,152.0,2,2,0
